# Verified 2026-07-04 via claude-in-chrome real browser automation against glazy.org and clayimco.com (Square Online store). See price_list_run_notes.md for methodology and per-material notes.
material_name,price,unit,bulk_price,bulk_unit,imco_url,match_confidence,notes
Silica,2.50,1 lb,25.75,25 lb,https://www.clayimco.com/product/728-200-mesh-silica/52,exact,"728 - 200 Mesh Silica (Sil-Co-Sil 90); full tier pricing: 1 lb $2.50, 5 lb $5.00, 10 lb $9.00, 25 lb $25.75, 50 lb $25.00 (50 lb is a bulk discount vs 25 lb)"
Gerstley Borate,6.00,1 lb,225.00,50 lb bag,https://www.clayimco.com/product/724-gerstley-borate/51,exact,"724 - Gerstley Borate; full tier pricing: 1 lb $6.00, 5 lb $30.00, 10 lb $55.00, 25 lb $150.00, 50 lb bag $225.00 -- matches the glaze tech's 2026-07-04 quote of $225/bag exactly"
Nepheline Syenite,2.50,1 lb,32.00,50 lb,https://www.clayimco.com/product/711-nephline-syenite-a270/44,exact,"711 - Nepheline Syenite A270; full tier pricing: 1 lb $2.50, 5 lb $5.00, 10 lb $9.00, 25 lb $31.25, 50 lb $32.00"
Potash Feldspar,3.00,1 lb,56.00,55.14 lb,https://www.clayimco.com/product/703-g200eu-potassium-feldspar/411,fuzzy,"703 - G200EU Potassium Feldspar; ""Potassium Feldspar"" is IMCO's term vs Glazy's ""Potash Feldspar"". Full tier pricing: 1 lb $3.00, 5 lb $7.00, 10 lb $13.00, 55.14 lb (25kg bag) $56.00 -- no 25/50 lb tier, largest size is a metric 25kg bag"
Copper Carbonate,8.00,1/4 lb,600.00,50 lb,https://www.clayimco.com/product/25289-copper-carbonate/87,exact,"25289 - Copper Carbonate; full tier pricing: 1/4 lb $8.00, 1/2 lb $13.00, 1 lb $18.00, 5 lb $76.00, 10 lb $135.00, 25 lb $320.00, 50 lb $600.00"
EP Kaolin,12.99,1 lb,400.00,50 lb,https://www.clayimco.com/product/706-epk-edgar-plastic-kaolin/39,fuzzy,"706 - EPK Edgar Plastic Kaolin; found as ""EPK"" variant via Kaolin search. ALL tiers currently out of stock (1/5/10/25/50 lb all show ""Out of stock""), prices are last-listed, not purchasable right now -- this affects BOTH Frogskin and ""Giggin' for Salvation,"" flag for the glaze tech. Full tier pricing: 1 lb $12.99, 5 lb $115.00, 10 lb $130.00, 25 lb $535.00, 50 lb $400.00 (non-monotonic: 25 lb costs more than 50 lb)"
Red Iron Oxide,8.00,1 lb,375.00,100 lb,https://www.clayimco.com/product/25479-red-iron-oxide-synthetic-2563/97,exact,"25479 - Red Iron Oxide (Synthetic) 2563; synthetic variant, natural variant may be available separately. Full tier pricing: 1 lb $8.00, 5 lb $30.00, 10 lb $55.00, 25 lb $141.25, 50 lb $200.00, 100 lb $375.00 -- 100 lb is the best per-lb rate ($3.75/lb) and the true bulk tier, not 50 lb"
Wollastonite,2.50,1 lb,30.00,50 lb,https://www.clayimco.com/product/747-wollastonite-w30/64,exact,"747 - Wollastonite W30; also available as 745 W10 at $2.50-$9.00, different grade. Full tier pricing (W30): 1 lb $2.50, 5 lb $5.50, 10 lb $9.00, 25 lb $22.00, 50 lb $30.00"
Titanium Dioxide,8.00,1 lb,231.00,50 lb,https://www.clayimco.com/product/25884-titanium-dioxide-powder/106,exact,"25884 - Titanium Dioxide Powder. Full tier pricing: 1 lb $8.00, 5 lb $35.00, 10 lb $62.50, 25 lb $155.00, 50 lb $231.00"
Frit 3134,4.25,1 lb,135.00,50 lb,https://www.clayimco.com/product/26802-frit-3134/116,fuzzy,"26802 - Frit 3134; recipe says ""Ferro Frit 3134"" -- IMCO lists the same material without the ""Ferro"" manufacturer prefix. Full tier pricing: 1 lb $4.25, 5 lb $20.00, 10 lb $38.00, 25 lb $85.00, 50 lb $135.00 -- matches the glaze tech's 2026-07-04 quote of $135/#50 exactly. This is the flux substituted for Gerstley Borate in ""Giggin' for Salvation."""
Whiting,2.50,1 lb,15.00,50 lb,https://www.clayimco.com/product/710-marble-whiting-calcium-carbonate-/42,exact,"710 - Marble Whiting (Calcium Carbonate); full tier pricing: 1 lb $2.50, 5 lb $5.00, 10 lb $9.00, 25 lb $24.25, 50 lb $15.00 -- 50 lb tier is cheaper than 25 lb, same non-monotonic bulk-discount pattern seen with Silica"
Bentonite,2.50,1 lb,33.50,50 lb,https://www.clayimco.com/product/763-325-mesh-bentonite/750,fuzzy,"763 - 325 Mesh Bentonite; recipe just says ""Bentonite"" with no grade specified, chose IMCO's standard/generic grade over the premium ""Bentonite 200 Mesh API Grade (Volclay)"" ($14-$600) -- flag for the glaze tech to confirm which grade ""Giggin' for Salvation"" actually uses. Full tier pricing: 1 lb $2.50, 5 lb $5.00, 10 lb $9.50, 25 lb $28.50, 50 lb $33.50"
